Team Abbreviation,Team Name,Total Wins,League
ANA,Los Angeles Angels,63,American League
DET,Detroit Tigers,86,American League
KCA,Kansas City Royals,86,American League
PHI,Philadelphia Phillies,95,National League
WAS,Washington Nationals,71,National League
BOS,Boston Red Sox,81,American League
CIN,Cincinnati Reds,77,National League
SDN,San Diego Padres,93,National League
SFN,San Francisco Giants,80,National League
SLN,St. Louis Cardinals,83,National League
CLE,Cleveland Guardians,92,American League
HOU,Houston Astros,88,American League
MIA,Miami Marlins,62,National League
MIL,Milwaukee Brewers,93,National League
ARI,Arizona Diamondbacks,89,National League
NYA,New York Yankees,94,American League
OAK,Oakland Athletics,69,American League
SEA,Seattle Mariners,85,American League
TBA,Tampa Bay Rays,80,American League
TEX,Texas Rangers,78,American League
ATL,Atlanta Braves,89,National League
BAL,Baltimore Orioles,91,American League
CHA,Chicago White Sox,41,American League
MIN,Minnesota Twins,82,American League
TOR,Toronto Blue Jays,74,American League
CHN,Chicago Cubs,83,National League
COL,Colorado Rockies,61,National League
LAN,Los Angeles Dodgers,98,National League
NYN,New York Mets,89,National League
PIT,Pittsburgh Pirates,76,National League
